,open,high,low,last,close,volume,date,symbol,exchange
0,212.18,212.42,212.18,,,,2022-01-03T23:59:00+0000,AYI,IEXG
1,212.09,212.17,212.09,,,,2022-01-03T23:58:00+0000,AYI,IEXG
2,211.485,211.485,211.485,,,,2022-01-03T23:57:00+0000,AYI,IEXG
3,211.71,211.71,211.485,,,,2022-01-03T23:56:00+0000,AYI,IEXG
4,211.66,211.66,211.55,,,,2022-01-03T23:55:00+0000,AYI,IEXG
5,211.58,211.58,211.58,,,,2022-01-03T23:54:00+0000,AYI,IEXG
6,211.58,211.58,211.58,,,,2022-01-03T23:53:00+0000,AYI,IEXG
7,211.58,211.58,211.58,,,,2022-01-03T23:52:00+0000,AYI,IEXG
8,211.58,211.58,211.58,,,,2022-01-03T23:51:00+0000,AYI,IEXG
9,211.58,211.58,211.58,,,,2022-01-03T23:50:00+0000,AYI,IEXG
10,211.58,211.58,211.58,,,,2022-01-03T23:49:00+0000,AYI,IEXG
11,211.58,211.58,211.58,,,,2022-01-03T23:48:00+0000,AYI,IEXG
12,211.45,211.58,211.45,,,,2022-01-03T23:47:00+0000,AYI,IEXG
13,211.64,211.64,211.64,,,,2022-01-03T23:46:00+0000,AYI,IEXG
14,211.64,211.64,211.64,,,,2022-01-03T23:45:00+0000,AYI,IEXG
15,211.64,211.64,211.64,,,,2022-01-03T23:44:00+0000,AYI,IEXG
16,211.41,211.64,211.41,,,,2022-01-03T23:43:00+0000,AYI,IEXG
17,211.54,211.54,211.54,,,,2022-01-03T23:42:00+0000,AYI,IEXG
18,211.54,211.54,211.54,,,,2022-01-03T23:41:00+0000,AYI,IEXG
19,211.54,211.54,211.54,,,,2022-01-03T23:40:00+0000,AYI,IEXG
20,211.54,211.54,211.54,,,,2022-01-03T23:39:00+0000,AYI,IEXG
21,211.71,211.71,211.71,,,,2022-01-03T23:38:00+0000,AYI,IEXG
22,211.71,211.71,211.71,,,,2022-01-03T23:37:00+0000,AYI,IEXG
23,211.53,211.53,211.53,,,,2022-01-03T23:36:00+0000,AYI,IEXG
24,211.53,211.53,211.53,,,,2022-01-03T23:35:00+0000,AYI,IEXG
25,211.28,211.28,211.28,,,,2022-01-03T23:34:00+0000,AYI,IEXG
26,211.28,211.28,211.28,,,,2022-01-03T23:33:00+0000,AYI,IEXG
27,211.33,211.33,211.33,,,,2022-01-03T23:32:00+0000,AYI,IEXG
28,211.33,211.33,211.33,,,,2022-01-03T23:31:00+0000,AYI,IEXG
29,211.01,211.01,211.01,,,,2022-01-03T23:30:00+0000,AYI,IEXG
30,211.01,211.01,211.01,,,,2022-01-03T23:29:00+0000,AYI,IEXG
31,211.01,211.01,211.01,,,,2022-01-03T23:28:00+0000,AYI,IEXG
32,211.01,211.01,211.01,,,,2022-01-03T23:27:00+0000,AYI,IEXG
33,211.01,211.01,211.01,,,,2022-01-03T23:26:00+0000,AYI,IEXG
34,211.01,211.01,211.01,,,,2022-01-03T23:25:00+0000,AYI,IEXG
35,211.01,211.01,211.01,,,,2022-01-03T23:24:00+0000,AYI,IEXG
36,211.01,211.01,211.01,,,,2022-01-03T23:23:00+0000,AYI,IEXG
37,211.01,211.01,211.01,,,,2022-01-03T23:22:00+0000,AYI,IEXG
38,211.33,211.33,211.33,,,,2022-01-03T23:21:00+0000,AYI,IEXG
39,211.33,211.33,211.33,,,,2022-01-03T23:20:00+0000,AYI,IEXG
40,211.33,211.33,211.33,,,,2022-01-03T23:19:00+0000,AYI,IEXG
41,211.105,211.105,211.105,,,,2022-01-03T23:18:00+0000,AYI,IEXG
42,211.105,211.105,211.105,,,,2022-01-03T23:17:00+0000,AYI,IEXG
43,211.105,211.105,211.105,,,,2022-01-03T23:16:00+0000,AYI,IEXG
44,211.265,211.265,211.265,,,,2022-01-03T23:15:00+0000,AYI,IEXG
45,211.07,211.29,211.07,,,,2022-01-03T23:14:00+0000,AYI,IEXG
46,211.14,211.15,211.14,,,,2022-01-03T23:13:00+0000,AYI,IEXG
47,211.065,211.065,211.065,,,,2022-01-03T23:12:00+0000,AYI,IEXG
48,211.065,211.065,211.065,,,,2022-01-03T23:11:00+0000,AYI,IEXG
49,211.065,211.065,211.065,,,,2022-01-03T23:10:00+0000,AYI,IEXG
50,211.26,211.26,211.26,,,,2022-01-03T23:09:00+0000,AYI,IEXG
51,211.26,211.26,211.26,,,,2022-01-03T23:08:00+0000,AYI,IEXG
52,211.26,211.26,211.26,,,,2022-01-03T23:07:00+0000,AYI,IEXG
53,211.26,211.26,211.26,,,,2022-01-03T23:06:00+0000,AYI,IEXG
54,211.26,211.26,211.26,,,,2022-01-03T23:05:00+0000,AYI,IEXG
55,211.26,211.26,211.26,,,,2022-01-03T23:04:00+0000,AYI,IEXG
56,211.26,211.26,211.26,,,,2022-01-03T23:03:00+0000,AYI,IEXG
57,211.67,211.67,211.67,,,,2022-01-03T23:02:00+0000,AYI,IEXG
58,211.67,211.67,211.67,,,,2022-01-03T23:01:00+0000,AYI,IEXG
59,211.38,211.38,211.38,,,,2022-01-03T23:00:00+0000,AYI,IEXG
60,211.68,211.68,211.38,,,,2022-01-03T22:59:00+0000,AYI,IEXG
61,211.66,211.66,211.66,,,,2022-01-03T22:58:00+0000,AYI,IEXG
62,211.66,211.66,211.66,,,,2022-01-03T22:57:00+0000,AYI,IEXG
63,211.565,211.66,211.4,,,,2022-01-03T22:56:00+0000,AYI,IEXG
64,211.62,211.62,211.62,,,,2022-01-03T22:55:00+0000,AYI,IEXG
65,211.62,211.62,211.62,,,,2022-01-03T22:54:00+0000,AYI,IEXG
66,211.62,211.62,211.62,,,,2022-01-03T22:53:00+0000,AYI,IEXG
67,211.62,211.62,211.62,,,,2022-01-03T22:52:00+0000,AYI,IEXG
68,211.62,211.62,211.62,,,,2022-01-03T22:51:00+0000,AYI,IEXG
69,211.62,211.62,211.62,,,,2022-01-03T22:50:00+0000,AYI,IEXG
70,211.62,211.62,211.62,,,,2022-01-03T22:49:00+0000,AYI,IEXG
71,211.62,211.62,211.62,,,,2022-01-03T22:48:00+0000,AYI,IEXG
72,211.62,211.62,211.62,,,,2022-01-03T22:47:00+0000,AYI,IEXG
73,211.62,211.62,211.62,,,,2022-01-03T22:46:00+0000,AYI,IEXG
74,211.38,211.38,211.38,,,,2022-01-03T22:45:00+0000,AYI,IEXG
75,211.665,211.68,211.38,,,,2022-01-03T22:44:00+0000,AYI,IEXG
76,211.465,211.71,211.465,,,,2022-01-03T22:43:00+0000,AYI,IEXG
77,211.46,211.465,211.45,,,,2022-01-03T22:42:00+0000,AYI,IEXG
78,211.09,211.09,211.09,,,,2022-01-03T22:41:00+0000,AYI,IEXG
79,210.81,210.81,210.81,,,,2022-01-03T22:40:00+0000,AYI,IEXG
80,210.81,210.81,210.81,,,,2022-01-03T22:39:00+0000,AYI,IEXG
81,210.81,210.81,210.81,,,,2022-01-03T22:38:00+0000,AYI,IEXG
82,211.41,211.41,211.41,,,,2022-01-03T22:37:00+0000,AYI,IEXG
83,211.41,211.41,211.41,,,,2022-01-03T22:36:00+0000,AYI,IEXG
84,211.41,211.41,211.41,,,,2022-01-03T22:35:00+0000,AYI,IEXG
85,211.41,211.41,211.41,,,,2022-01-03T22:34:00+0000,AYI,IEXG
86,211.41,211.41,211.41,,,,2022-01-03T22:33:00+0000,AYI,IEXG
87,211.41,211.41,211.41,,,,2022-01-03T22:32:00+0000,AYI,IEXG
88,211.86,211.86,211.86,,,,2022-01-03T22:31:00+0000,AYI,IEXG
89,211.36,211.36,211.36,,,,2022-01-03T22:30:00+0000,AYI,IEXG
90,211.36,211.36,211.36,,,,2022-01-03T22:29:00+0000,AYI,IEXG
91,211.36,211.36,211.36,,,,2022-01-03T22:28:00+0000,AYI,IEXG
92,211.36,211.36,211.36,,,,2022-01-03T22:27:00+0000,AYI,IEXG
93,211.36,211.36,211.36,,,,2022-01-03T22:26:00+0000,AYI,IEXG
94,211.36,211.36,211.36,,,,2022-01-03T22:25:00+0000,AYI,IEXG
95,211.36,211.36,211.36,,,,2022-01-03T22:24:00+0000,AYI,IEXG
96,211.76,211.76,211.36,,,,2022-01-03T22:23:00+0000,AYI,IEXG
97,211.76,211.76,211.49,,,,2022-01-03T22:22:00+0000,AYI,IEXG
98,211.36,211.36,211.36,,,,2022-01-03T22:21:00+0000,AYI,IEXG
99,211.36,211.36,211.36,,,,2022-01-03T22:20:00+0000,AYI,IEXG
