Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-01-21,35.915897041967604,36.08140613090361,35.502117144917214,35.607444763183594,1465400,0.0,0
2014-01-22,35.772958249988186,35.84819227228474,35.36670313924027,35.5322151184082,1315900,0.0,0
2014-01-23,35.18614386585605,35.2538530445157,34.20059979200657,34.366111755371094,1641000,0.0,0
2014-01-24,34.19308883203205,34.28336680934356,33.07965087890625,33.07965087890625,1809800,0.0,0
2014-01-27,33.102222387969185,33.373059212143325,32.748629548643464,32.936710357666016,2171900,0.0,0
2014-01-28,33.05707082928104,33.38056994145825,33.05707082928104,33.32790756225586,1176400,0.0,0
2014-01-29,32.786236311710844,33.09468861368941,32.50787474732981,32.62824630737305,1721000,0.0,0
2014-01-30,32.884036887632554,33.39561674549957,32.884036887632554,33.32790756225586,1018700,0.0,0
2014-01-31,32.568067492640886,33.1924941695595,32.537973880048824,32.778717041015625,1207700,0.0,0
2014-02-03,32.81632948410495,32.868991866163356,31.259021054927207,31.379392623901367,2125600,0.0,0
2014-02-04,31.597562511255205,31.958677166997738,30.995704751684322,31.79316520690918,2696600,0.0,0
2014-02-05,31.71793567857658,31.97372559815721,31.311680593968934,31.883447647094727,1380100,0.0,0
2014-02-06,31.951161672502145,32.16933318149334,31.725462455797505,32.15428924560547,1285900,0.0,0
2014-02-07,32.44769200659893,32.75614432382866,32.23703961369446,32.718528747558594,1374300,0.0,0
2014-02-10,32.7260543562027,32.733576324339865,32.16933400785361,32.387508392333984,1216900,0.0,0
2014-02-11,32.39503094228702,33.004410764325236,32.33484372190147,32.899085998535156,1492200,0.0,0
2014-02-12,32.93670228759671,33.24515462402206,32.83890235718516,33.072120666503906,979100,0.0,0
2014-02-13,32.726058398331624,33.47085961083624,32.54549957200514,33.44828796386719,1892800,0.0,0
2014-02-14,33.35800344713122,33.64388700365984,33.192491461264446,33.50846862792969,1206200,0.0,0
2014-02-18,33.50094666383083,33.72664588932907,33.33543753365295,33.69655227661133,1102800,0.0,0
