Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-01-21,43.09727287927443,43.33128387594868,42.98676477277185,43.29878234863281,763633,0.0,0.0
2014-01-22,43.279276046617596,43.51328992780004,43.21427300007477,43.4677848815918,988645,0.0,0.0
2014-01-23,43.29877180062618,43.40927696657999,43.019255820173925,43.20126724243164,1217183,0.0,0.0
2014-01-24,43.09077101483426,43.396285360550245,42.557743072509766,42.557743072509766,1860025,0.0,0.0
2014-01-27,42.635732378858016,43.17526044473956,42.57072934846597,42.876243591308594,1975410,0.0,0.0
2014-01-28,42.94124891187864,43.149261533854634,42.84374436109037,43.14276123046875,1313650,0.0,0.0
2014-01-29,43.05826133263306,43.32477379649847,42.915251731077305,43.116764068603516,1314120,0.0,0.0
2014-01-30,43.32478795093229,43.84481535419331,43.298786726450686,43.734310150146484,806755,0.0,0.0
2014-01-31,43.37677811967291,44.42333293602948,43.331275989712026,44.34532928466797,1650405,0.0,0.0
2014-02-03,44.35182726889754,44.89135540955335,44.085314807353654,44.18281936645508,2455515,0.0,0.0
2014-02-04,44.364830050644066,44.42333278897154,43.4092794973725,43.85130310058594,2025113,0.0,0.0
2014-02-05,43.714795357268805,43.74079657349796,43.44177967323472,43.58478927612305,1308128,0.0,0.0
2014-02-06,43.682294472502804,43.97480815933645,43.46778152186342,43.92930603027344,1077945,0.0,0.0
2014-02-07,44.000818940037774,44.19582809406803,43.864309618588116,44.13082504272461,1249378,0.0,0.0
2014-02-10,44.00081309815772,44.37133044162253,43.7212971008632,44.351829528808594,1087463,0.0,0.0
2014-02-11,44.2738328894244,44.92386633313283,44.241331362920405,44.91736602783203,1396135,0.0,0.0
2014-02-12,44.91085929867444,45.073369821578154,44.7028495588017,44.787353515625,1131525,0.0,0.0
2014-02-13,44.61833498210435,45.268368178116546,44.494826314823804,45.22286605834961,1781888,0.0,0.0
2014-02-14,45.22287858523341,46.711457085117885,44.97586409587595,46.626953125,2878398,0.0,0.0
2014-02-18,46.789454579028884,46.97796338831378,46.659448503659995,46.88045883178711,1737825,0.0,0.0
2014-02-19,46.886969837614465,47.094979605683406,46.37344280906574,46.45794677734375,2074698,0.0,0.0
2014-02-20,46.522945521097206,47.15348089941559,46.522945521097206,47.016971588134766,2141203,0.0,0.0
2014-02-21,47.055976572036585,47.41999363431839,46.99097061157227,46.990970611572266,1742173,0.0,0.0
2014-02-24,47.15349147186418,47.22499483904755,46.69196682459719,46.71146774291992,1303663,0.0,0.0
2014-02-25,46.76345891634899,47.10147475244195,46.53594825744027,46.69195556640625,1025893,0.0,0.0
2014-02-26,46.83496714930521,46.93897203279275,46.425445006944514,46.48394775390625,879958,0.0,0.0
2014-02-27,46.45793287939466,46.789451261708926,46.15241862393838,46.30842590332031,881838,0.0,0.0
2014-02-28,46.43844029956938,46.80246026371921,46.379937559306974,46.64645004272461,983710,0.0,0.0
