,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,0.94,1.30,2.92,2.12,1.35,2.71,4.10,2.52
1,22,28,21,24,16,19,19,26
2,0.91,1.33,2.92,1.98,1.21,2.61,4.01,2.35
3,0.94,1.77,3.75,1.98,1.33,3.21,4.25,2.73
4,17%,45%,74%,40%,41%,81%,13%,38%
