,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,-,-,-,-,-,-,-
1,,,,,,,
2,-,-,-,-,-,-,-
3,-0.20,-0.14,-0.11,-0.11,0.03,-0.08,-0.11
4,-,-,-,-,115%,43%,0%
