,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,0.87,0.94,1.09,1.17,0.56,1.40,0.92,-
1,8,6,5,5,3,3,3,
2,0.86,0.91,1.08,0.16,0.26,1.30,0.81,0.79
3,0.84,1.41,2.03,0.56,0.44,1.66,1.56,1.31
4,42%,44%,190%,-31%,-48%,18%,-23%,134%
