,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,0.06,-0.05,-0.11,-0.07,0.05,0.12,0.26,0.43
1,8,8,5,5,3,5,6,6
2,0.04,-0.10,-0.09,-0.04,0.02,0.11,0.23,0.39
3,0.01,-0.13,-0.16,0,0.04,0.14,0.31,0.40
4,-86%,-533%,-1500%,-91%,300%,208%,294%,13994%
