,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,0.73,0.74,-0.49,0.93,1.53,2.09,1.23,1.52
1,6,6,13,12,7,10,7,3
2,0.75,0.72,-0.61,1.06,1.48,1.83,1.10,1.44
3,0.82,1.36,-0.45,1.79,2.19,2.51,0.88,2.22
4,41%,70%,-550%,90%,167%,85%,296%,24%
