,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,1.52,0.67,-0.69,-0.18,0.88,0.34,0.35,0.49
1,76,55,54,33,45,43,36,25
2,1.41,0.61,-0.80,-0.33,0.69,0.11,0.26,0.43
3,1.68,0.40,-1.20,0.48,0.64,0.24,0.40,0.57
4,24%,-64%,-188%,-60%,-62%,-40%,133%,19%
