,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21,FQ4 '21
0,-,-,-0.19,-0.01,0.96,-0.06,0.07,0.06
1,,,6,8,7,10,14,24
2,-,-,-0.26,0.02,0.86,-0.22,-0.17,-0.09
3,0.60,-0.48,-0.52,0.15,1.01,0.12,0.12,-0.07
4,-5%,-336%,-300%,154%,68%,125%,123%,-147%
