,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,-,-,-,-,-,-,-,-
1,,,,,,,,
2,-,-,-,-,-,-,-,-
3,1.37,1.08,1.00,1.24,1.65,1.35,1.71,1.94
4,47%,10%,-12%,-10%,20%,25%,71%,56%
