,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,0.51,0.03,-0.52,-0.19,0.05,0.62,1.06,1.58
1,59,52,52,38,40,43,44,43
2,0.44,0.01,-0.62,-0.26,0.01,0.60,1.01,1.56
3,0.41,0.53,-0.70,-0.18,0.03,0.65,1.10,1.58
4,-73%,-4%,-196%,-126%,-93%,23%,257%,978%
