,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,1.22,0.42,0.73,0.74,1.23,0.83,0.82,0.76
1,87,88,87,61,58,47,42,48
2,1.20,0.38,0.69,0.65,1.18,0.70,0.76,0.70
3,1.23,0.58,0.98,0.71,1.20,0.84,0.92,0.72
4,-5%,87%,158%,122%,-2%,45%,-6%,1%
