,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,name,earn_dt,1_prior,3_prior,5_prior,est_hit_rate,valid_data_pct,last_4_est_cnt,est_wl_pct_diff,opt_str,opt_sr,opt_mean,opt_std,opt_max,opt_min,mkt_hit_rate,net_hit_rate,valid_market_data,valid_est_signal,link,past_pnl_data
0,0.0,0.0,0.0,LEVI,2022-01-24 18:00:00,2022-01-21 18:00:00,2022-01-19 18:00:00,2022-01-17 18:00:00,62,100.0,10.75,13.375,open-open,0.9094896115447572,1.5366666666666668,1.6895923242670765,4.46,-0.25,83.0,51.0,100,75,https://www.estimize.com/levi,"[0.15, 3.06, 4.46, 0.49, -0.25, 1.31]"
1,1.0,1.0,1.0,DPZ,2022-02-22 18:00:00,2022-02-21 18:00:00,2022-02-17 18:00:00,2022-02-15 18:00:00,62,100.0,20.5,2.875,open-close,0.061248017606011874,0.4,6.530823619028242,13.32,-7.72,43.0,27.0,100,88,https://www.estimize.com/dpz,"[-0.99, 1.63, -6.7, -7.72, 3.73, 13.32, -0.47]"
2,2.0,2.0,2.0,TACO,2022-03-07 15:00:00,2022-03-04 15:00:00,2022-03-02 15:00:00,2022-02-28 15:00:00,25,100.0,3.5,30.875,close-close,0.5462186594896469,1.3716666666666668,2.5112043370108736,4.69,-1.51,67.0,17.0,100,75,https://www.estimize.com/taco,"[-1.51, 0.42, -1.39, 4.53, 1.49, 4.69]"
3,3.0,3.0,3.0,NFLX,2022-01-16 18:00:00,2022-01-14 18:00:00,2022-01-12 18:00:00,2022-01-10 18:00:00,25,100.0,157.5,4.75,open-open,0.4232762347219933,0.4971428571428572,1.1745116223436909,2.21,-1.38,71.0,18.0,100,88,https://www.estimize.com/nflx,"[-0.29, 2.21, 1.97, 0.2, -1.38, 0.0, 0.77]"
4,4.0,4.0,4.0,OMC,2022-02-16 07:30:00,2022-02-15 07:30:00,2022-02-11 07:30:00,2022-02-09 07:30:00,100,100.0,13.5,6.375,open-open,0.4878707753310334,1.4900000000000002,3.0540874250747967,5.03,-5.56,88.0,88.0,100,100,https://www.estimize.com/omc,"[5.03, 3.69, -5.56, 1.34, 3.86, 0.44, 2.19, 0.93]"
5,5.0,5.0,5.0,LRN,2022-01-24 04:59:00,2022-01-21 04:59:00,2022-01-19 04:59:00,2022-01-17 04:59:00,88,100.0,4.5,34.75,close-open,0.6734774217290188,0.7337499999999999,1.0894945789218045,1.92,-1.0,75.0,66.0,100,100,https://www.estimize.com/lrn,"[-0.81, 0.08, -1.0, 1.67, 1.74, 1.31, 1.92, 0.96]"
6,6.0,6.0,6.0,LAD,2022-02-01 07:30:00,2022-01-31 07:30:00,2022-01-27 07:30:00,2022-01-25 07:30:00,62,100.0,14.5,4.625,open-open,0.10069081629138744,0.6387499999999999,6.343676846868856,11.86,-10.3,50.0,31.0,100,100,https://www.estimize.com/lad,"[-2.53, 4.77, -10.3, 1.75, -2.06, -3.7, 11.86, 5.32]"
7,7.0,7.0,7.0,WGO,2022-03-21 19:00:00,2022-03-18 19:00:00,2022-03-16 19:00:00,2022-03-14 19:00:00,88,100.0,12.25,10.25,close-open,-0.18266032144086847,-0.9412500000000004,5.153007465306062,3.66,-10.5,62.0,55.0,100,100,https://www.estimize.com/wgo,"[-10.5, -8.31, 2.98, 2.45, 3.66, 1.14, -1.72, 2.77]"
8,8.0,8.0,8.0,LVS,2022-01-24 18:00:00,2022-01-21 18:00:00,2022-01-19 18:00:00,2022-01-17 18:00:00,25,100.0,23.0,13.375,close-open,0.20860625237642527,0.2571428571428572,1.2326709013440724,2.33,-1.58,57.0,14.0,100,88,https://www.estimize.com/lvs,"[2.33, -0.75, -0.69, -1.58, 0.97, 0.9, 0.62]"
9,9.0,9.0,9.0,TSCO,2022-01-26 07:30:00,2022-01-25 07:30:00,2022-01-21 07:30:00,2022-01-19 07:30:00,62,100.0,17.0,4.5,close-close,-0.2449720751712209,-0.9549999999999998,3.8984035193909823,4.41,-8.11,38.0,24.0,100,100,https://www.estimize.com/tsco,"[-1.25, 0.37, -0.03, -8.11, -2.78, 4.41, -4.26, 4.01]"
