,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,-,-,-,-,-,-,-,-
1,,,,,,,,
2,-,-,-,-,-,-,-,-
3,-0.35,-0.28,-0.24,-0.15,-0.37,-0.34,-0.36,-0.36
4,-52%,-155%,-33%,42%,-6%,-21%,-50%,-140%
