,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,0.11,0.06,-0.15,-0.17,-0.11,-0.23,-0.13,-0.02
1,28,21,19,19,14,11,14,13
2,0.16,0.09,-0.13,-0.11,-0.14,-0.22,-0.13,-0.08
3,0.13,-0.41,-0.08,-0.11,-0.42,-0.28,-0.03,-0.10
4,160%,-105%,-104%,82%,-423%,31%,68%,8%
