,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21,FQ4 '21,FQ1 '22,FQ2 '22,FQ3 '22
0,0.55,0.61,0.69,0.72,0.75,0.83,0.95,0.93
1,42,38,38,37,33,21,18,23
2,0.52,0.59,0.64,0.68,0.68,0.78,0.87,0.88
3,0.54,0.66,0.72,0.78,0.78,0.91,0.94,0.97
4,20%,32%,31%,30%,44%,38%,31%,24%
