,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,0.02,0.02,-0.06,0.06,0.07,0.10,0.10,0.09
1,4,3,4,4,3,5,3,3
2,0.01,0.02,-0.02,0.05,0.06,0.09,0.08,0.06
3,0.01,0.04,-0.02,0.05,0.07,0.15,0.19,0.17
4,200%,0%,-167%,67%,600%,275%,1050%,240%
