,name,link,earn_day,earn_date,earn_time
123,FOSL,https://www.estimize.com/fosl,TUESDAY,2022-02-15,AMC
124,BYD,https://www.estimize.com/byd,TUESDAY,2022-02-15,AMC
125,DENN,https://www.estimize.com/denn,TUESDAY,2022-02-15,AMC
126,PBPB,https://www.estimize.com/pbpb,TUESDAY,2022-02-15,AMC
127,CCS,https://www.estimize.com/ccs,TUESDAY,2022-02-15,AMC
128,QS,https://www.estimize.com/qs,TUESDAY,2022-02-15,AMC
129,MAR,https://www.estimize.com/mar,WEDNESDAY,2022-02-16,BMO
130,HLT,https://www.estimize.com/hlt,WEDNESDAY,2022-02-16,BMO
131,LAD,https://www.estimize.com/lad,WEDNESDAY,2022-02-16,BMO
132,CHH,https://www.estimize.com/chh,WEDNESDAY,2022-02-16,BMO
133,TNL,https://www.estimize.com/tnl,WEDNESDAY,2022-02-16,BMO
134,FUN,https://www.estimize.com/fun,WEDNESDAY,2022-02-16,BMO
135,APRN,https://www.estimize.com/aprn,WEDNESDAY,2022-02-16,BMO
136,GRPN,https://www.estimize.com/grpn,WEDNESDAY,2022-02-16,AMC
137,TRIP,https://www.estimize.com/trip,WEDNESDAY,2022-02-16,AMC
138,H,https://www.estimize.com/h,WEDNESDAY,2022-02-16,AMC
139,SNBR,https://www.estimize.com/snbr,WEDNESDAY,2022-02-16,AMC
140,LOPE,https://www.estimize.com/lope,WEDNESDAY,2022-02-16,AMC
141,CSV,https://www.estimize.com/csv,WEDNESDAY,2022-02-16,AMC
142,VIAC,https://www.estimize.com/viac,THURSDAY,2022-02-17,BMO
143,BLMN,https://www.estimize.com/blmn,THURSDAY,2022-02-17,BMO
144,TPX,https://www.estimize.com/tpx,THURSDAY,2022-02-17,BMO
145,POOL,https://www.estimize.com/pool,THURSDAY,2022-02-17,BMO
146,DAN,https://www.estimize.com/dan,THURSDAY,2022-02-17,BMO
147,BBW,https://www.estimize.com/bbw,THURSDAY,2022-02-17,BMO
148,YETI,https://www.estimize.com/yeti,THURSDAY,2022-02-17,BMO
149,MGM,https://www.estimize.com/mgm,THURSDAY,2022-02-17,AMC
150,OMC,https://www.estimize.com/omc,THURSDAY,2022-02-17,AMC
151,MCHX,https://www.estimize.com/mchx,THURSDAY,2022-02-17,AMC
152,UEIC,https://www.estimize.com/ueic,THURSDAY,2022-02-17,AMC
153,NWL,https://www.estimize.com/nwl,FRIDAY,2022-02-18,BMO
154,DDS,https://www.estimize.com/dds,MONDAY,2022-02-21,BMO
