,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,-,-,-,-,-,-0.31,0.33,0.18
1,,,,,,3,8,3
2,-,-,-,-,0.22,-0.43,0.24,0.13
3,0.30,0.53,0.48,0.36,0.31,1.35,0.11,0.18
4,173%,83%,33%,33%,4%,155%,-77%,-51%
