,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,1.01,0.67,0.59,1.03,0.98,1.03,1.37,1.48
1,13,7,5,7,7,5,5,7
2,0.98,0.69,0.60,0.97,0.97,0.98,1.33,1.42
3,0.73,0.57,1.06,1.00,1.08,1.28,1.44,1.85
4,-46%,-51%,-13%,-7%,48%,125%,36%,85%
