,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,1.36,0.75,0.45,0.44,-,-,0.82,1.31
1,6,4,5,3,,,4,5
2,1.34,0.72,0.42,0.42,0.93,0.67,0.78,1.19
3,1.32,0.75,0.35,0.73,1.45,0.86,1.36,1.39
4,9%,-5%,-57%,-8%,10%,15%,289%,90%
