,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,-,-,0.03,-,0.04,-,0.05,0.05
1,,,3,,4,,4,4
2,-,-,0.02,0.04,0.05,0.05,0.05,0.05
3,0.03,0.02,0.02,0.03,0.05,0.03,0.04,0.03
4,200%,100%,100%,0%,67%,50%,100%,0%
