,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,0.23,0.03,0.14,-0.05,0.24,0.38,-,-
1,6,6,6,4,4,3,,
2,0.05,0.04,0.05,-0.13,0.14,0.30,0.50,0.79
3,-0.06,0.27,0.30,0.49,0.23,0.53,0.32,0.98
4,-109%,-69%,-81%,-6%,483%,96%,7%,100%
