,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,1.94,-0.22,0.15,0.26,2.22,0.72,1.21,0.37
1,18,15,11,12,12,10,12,18
2,1.94,-0.34,0.14,0.20,2.11,0.65,1.11,0.29
3,1.97,-0.91,0.50,0.36,2.20,0.88,1.15,0.43
4,25%,-298%,-2%,100%,12%,197%,130%,19%
