,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,0.25,0.18,0.17,0.22,0.27,0.21,0.24,0.29
1,16,16,19,13,15,14,7,14
2,0.22,0.15,0.15,0.18,0.23,0.13,0.14,0.24
3,0.27,0.17,0.21,0.27,0.34,0.23,0.23,0.28
4,17%,6%,5%,35%,26%,35%,10%,4%
