,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,0.99,0.31,0.20,0.74,1.14,1.42,1.89,2.22
1,12,16,13,10,8,52,27,21
2,0.95,0.26,0.20,0.69,1.06,1.17,1.53,1.97
3,0.95,-0.44,0.61,1.25,1.60,2.09,2.33,2.16
4,3%,-155%,-37%,24%,68%,575%,282%,73%
