,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21,FQ4 '21,FQ1 '22,FQ2 '22
0,1.53,1.60,1.33,-,-,1.76,-,-
1,3,3,6,,,3,,
2,1.46,1.51,1.33,1.88,1.63,1.71,1.48,0.86
3,1.30,1.33,1.66,1.97,1.50,1.28,0.70,0.62
4,-7%,-29%,-22%,7%,15%,-4%,-58%,-69%
