,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,1.59,1.24,-,0.37,-,1.11,-,-
1,3,4,,3,,3,,
2,-,1.23,0.31,0.38,0.77,1.01,0.89,1.01
3,1.47,1.42,-0.18,0.71,1.27,1.06,1.30,1.15
4,-9%,14%,-116%,-49%,-14%,-25%,822%,62%
