,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,-,-,-,-,-,-,-
1,,,,,,,
2,-,-,-,-,-,-,-
3,-0.11,-0.09,-0.09,-0.10,-0.10,-0.02,-0.06
4,-,-,-,-,9%,78%,33%
