,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,0.22,0.15,-0.25,-0.06,-0.13,0.16,0.23,0.21
1,7,7,4,5,7,4,4,4
2,0.19,0.10,-0.43,-0.08,-0.07,0.08,0.18,0.17
3,0.22,0,-0.30,0.06,0.42,0.27,0.21,0.12
4,69%,-100%,-211%,-76%,91%,-,170%,100%
