,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,0.37,0.27,0.18,0.40,0.32,-,0.55,0.56
1,8,5,5,6,4,,3,3
2,0.36,0.25,0.13,0.39,0.25,0.33,0.53,0.54
3,0.47,0.32,0.13,0.62,0.27,0.36,0.53,0.63
4,370%,700%,-13%,77%,-43%,12%,308%,2%
