,name,link
143,MAR,https://www.estimize.com/mar
144,DISCA,https://www.estimize.com/disca
145,BWA,https://www.estimize.com/bwa
146,NCLH,https://www.estimize.com/nclh
147,WING,https://www.estimize.com/wing
148,NYT,https://www.estimize.com/nyt
149,LL,https://www.estimize.com/ll
150,FUN,https://www.estimize.com/fun
151,SBGI,https://www.estimize.com/sbgi
152,SHOO,https://www.estimize.com/shoo
153,TUP,https://www.estimize.com/tup
154,VSI,https://www.estimize.com/vsi
155,ODP,https://www.estimize.com/odp
156,SUP,https://www.estimize.com/sup
157,MCS,https://www.estimize.com/mcs
158,TRK,https://www.estimize.com/trk
159,WLH,https://www.estimize.com/wlh
160,STGW,https://www.estimize.com/stgw
161,BKNG,https://www.estimize.com/bkng
162,ROKU,https://www.estimize.com/roku
163,MGM,https://www.estimize.com/mgm
164,CAKE,https://www.estimize.com/cake
165,H,https://www.estimize.com/h
166,RGR,https://www.estimize.com/rgr
167,FOXA,https://www.estimize.com/foxa
168,RCII,https://www.estimize.com/rcii
169,ATGE,https://www.estimize.com/atge
170,PBPB,https://www.estimize.com/pbpb
171,RVLV,https://www.estimize.com/rvlv
172,ACEL,https://www.estimize.com/acel
173,RGS,https://www.estimize.com/rgs
174,VIAC,https://www.estimize.com/viac
175,PZZA,https://www.estimize.com/pzza
176,DISH,https://www.estimize.com/dish
177,CHH,https://www.estimize.com/chh
178,PENN,https://www.estimize.com/penn
179,W,https://www.estimize.com/w
180,MBUU,https://www.estimize.com/mbuu
181,MSGN,https://www.estimize.com/msgn
182,PLNT,https://www.estimize.com/plnt
183,HBI,https://www.estimize.com/hbi
184,APTV,https://www.estimize.com/aptv
185,DIN,https://www.estimize.com/din
186,VSTO,https://www.estimize.com/vsto
187,GIL,https://www.estimize.com/gil
188,GTN,https://www.estimize.com/gtn
189,SHYF,https://www.estimize.com/shyf
190,STRA,https://www.estimize.com/stra
191,HZN,https://www.estimize.com/hzn
192,GOLF,https://www.estimize.com/golf
193,MDCA,https://www.estimize.com/mdca
194,HMHC,https://www.estimize.com/hmhc
195,BALY,https://www.estimize.com/baly
196,TM,https://www.estimize.com/tm
197,EXPE,https://www.estimize.com/expe
198,SHAK,https://www.estimize.com/shak
199,NWSA,https://www.estimize.com/nwsa
200,WW,https://www.estimize.com/ww
201,LGF-A,https://www.estimize.com/lgf-a
202,CHUY,https://www.estimize.com/chuy
203,WWE,https://www.estimize.com/wwe
204,PTON,https://www.estimize.com/pton
205,LOCO,https://www.estimize.com/loco
206,LYV,https://www.estimize.com/lyv
207,ABNB,https://www.estimize.com/abnb
208,MED,https://www.estimize.com/med
209,FOXF,https://www.estimize.com/foxf
210,EVC,https://www.estimize.com/evc
211,FND,https://www.estimize.com/fnd
212,PRDO,https://www.estimize.com/prdo
213,CVNA,https://www.estimize.com/cvna
214,UEIC,https://www.estimize.com/ueic
215,ATUS,https://www.estimize.com/atus
216,CABO,https://www.estimize.com/cabo
217,CVCO,https://www.estimize.com/cvco
218,GRPN,https://www.estimize.com/grpn
219,GT,https://www.estimize.com/gt
220,TEN,https://www.estimize.com/ten
221,GCI,https://www.estimize.com/gci
222,CNK,https://www.estimize.com/cnk
223,AMCX,https://www.estimize.com/amcx
224,AXL,https://www.estimize.com/axl
225,DKNG,https://www.estimize.com/dkng
226,SSP,https://www.estimize.com/ssp
227,HMTV,https://www.estimize.com/hmtv
228,GOOS,https://www.estimize.com/goos
229,HMC,https://www.estimize.com/hmc
230,MGA,https://www.estimize.com/mga
231,VAC,https://www.estimize.com/vac
232,TRIP,https://www.estimize.com/trip
233,AMC,https://www.estimize.com/amc
234,CLAR,https://www.estimize.com/clar
235,NCMI,https://www.estimize.com/ncmi
236,APEI,https://www.estimize.com/apei
237,TME,https://www.estimize.com/tme
238,REAL,https://www.estimize.com/real
239,VUZI,https://www.estimize.com/vuzi
240,MLCO,https://www.estimize.com/mlco
241,DHI,https://www.estimize.com/dhi
242,SEAS,https://www.estimize.com/seas
243,CCO,https://www.estimize.com/cco
244,PRTY,https://www.estimize.com/prty
245,APRN,https://www.estimize.com/aprn
246,MPAA,https://www.estimize.com/mpaa
247,HUYA,https://www.estimize.com/huya
248,AUD,https://www.estimize.com/aud
249,IGT,https://www.estimize.com/igt
250,PRPL,https://www.estimize.com/prpl
251,HGV,https://www.estimize.com/hgv
252,MSGE,https://www.estimize.com/msge
253,WYNN,https://www.estimize.com/wynn
254,ELY,https://www.estimize.com/ely
255,NLS,https://www.estimize.com/nls
256,SGMS,https://www.estimize.com/sgms
257,NIO,https://www.estimize.com/nio
258,ZAGG,https://www.estimize.com/zagg
259,MCHX,https://www.estimize.com/mchx
260,DASH,https://www.estimize.com/dash
261,GLBE,https://www.estimize.com/glbe
262,VRM,https://www.estimize.com/vrm
263,WEN,https://www.estimize.com/wen
264,WWW,https://www.estimize.com/www
265,TAST,https://www.estimize.com/tast
266,MSGS,https://www.estimize.com/msgs
267,FVRR,https://www.estimize.com/fvrr
268,MCFT,https://www.estimize.com/mcft
269,TPCO,https://www.estimize.com/tpco
270,ADNT,https://www.estimize.com/adnt
271,EYE,https://www.estimize.com/eye
272,DIS,https://www.estimize.com/dis
273,FOSL,https://www.estimize.com/fosl
274,RRGB,https://www.estimize.com/rrgb
275,STAY,https://www.estimize.com/stay
276,WISH,https://www.estimize.com/wish
277,TPR,https://www.estimize.com/tpr
278,VIAB,https://www.estimize.com/viab
279,DDS,https://www.estimize.com/dds
280,ICON,https://www.estimize.com/icon
281,SBH,https://www.estimize.com/sbh
282,YETI,https://www.estimize.com/yeti
283,FRGI,https://www.estimize.com/frgi
284,STON,https://www.estimize.com/ston
285,KRUS,https://www.estimize.com/krus
286,WMG,https://www.estimize.com/wmg
287,AAP,https://www.estimize.com/aap
288,SQBG,https://www.estimize.com/sqbg
289,HD,https://www.estimize.com/hd
290,ARMK,https://www.estimize.com/armk
291,JMIA,https://www.estimize.com/jmia
292,LZB,https://www.estimize.com/lzb
293,TGT,https://www.estimize.com/tgt
294,LOW,https://www.estimize.com/low
295,TJX,https://www.estimize.com/tjx
296,SCVL,https://www.estimize.com/scvl
297,CORE,https://www.estimize.com/core
298,CATO,https://www.estimize.com/cato
299,IQ,https://www.estimize.com/iq
300,MANU,https://www.estimize.com/manu
301,BBWI,https://www.estimize.com/bbwi
302,CRMT,https://www.estimize.com/crmt
303,HI,https://www.estimize.com/hi
304,SONO,https://www.estimize.com/sono
305,BABA,https://www.estimize.com/baba
306,JD,https://www.estimize.com/jd
307,M,https://www.estimize.com/m
308,KSS,https://www.estimize.com/kss
309,VIPS,https://www.estimize.com/vips
310,PLCE,https://www.estimize.com/plce
311,SSI,https://www.estimize.com/ssi
312,ATHM,https://www.estimize.com/athm
313,ROST,https://www.estimize.com/rost
314,WSM,https://www.estimize.com/wsm
315,CAL,https://www.estimize.com/cal
316,MATW,https://www.estimize.com/matw
317,FTCH,https://www.estimize.com/ftch
318,JCP,https://www.estimize.com/jcp
319,FL,https://www.estimize.com/fl
320,BKE,https://www.estimize.com/bke
321,ESGC,https://www.estimize.com/esgc
322,TOUR,https://www.estimize.com/tour
323,URBN,https://www.estimize.com/urbn
324,BBY,https://www.estimize.com/bby
325,DKS,https://www.estimize.com/dks
326,ANF,https://www.estimize.com/anf
327,JACK,https://www.estimize.com/jack
328,DLTR,https://www.estimize.com/dltr
329,AEO,https://www.estimize.com/aeo
330,GES,https://www.estimize.com/ges
331,CBRL,https://www.estimize.com/cbrl
332,BURL,https://www.estimize.com/burl
333,MOV,https://www.estimize.com/mov
334,XPEV,https://www.estimize.com/xpev
335,JWN,https://www.estimize.com/jwn
336,GPS,https://www.estimize.com/gps
337,HTHT,https://www.estimize.com/htht
338,PDD,https://www.estimize.com/pdd
339,TIF,https://www.estimize.com/tif
340,CHS,https://www.estimize.com/chs
341,CTRN,https://www.estimize.com/ctrn
342,GIII,https://www.estimize.com/giii
343,BBW,https://www.estimize.com/bbw
344,DOOO,https://www.estimize.com/dooo
345,FIVE,https://www.estimize.com/five
346,PVH,https://www.estimize.com/pvh
347,TLRD,https://www.estimize.com/tlrd
348,CULP,https://www.estimize.com/culp
349,DG,https://www.estimize.com/dg
350,SIG,https://www.estimize.com/sig
351,EXPR,https://www.estimize.com/expr
352,LE,https://www.estimize.com/le
353,KIRK,https://www.estimize.com/kirk
354,ULTA,https://www.estimize.com/ulta
355,SWBI,https://www.estimize.com/swbi
356,ZUMZ,https://www.estimize.com/zumz
357,OLLI,https://www.estimize.com/olli
358,TLYS,https://www.estimize.com/tlys
359,HIBB,https://www.estimize.com/hibb
360,BIG,https://www.estimize.com/big
361,GCO,https://www.estimize.com/gco
362,AZO,https://www.estimize.com/azo
363,DBI,https://www.estimize.com/dbi
364,CONN,https://www.estimize.com/conn
365,JW-A,https://www.estimize.com/jw-a
366,PLAY,https://www.estimize.com/play
367,TOL,https://www.estimize.com/tol
368,SFIX,https://www.estimize.com/sfix
369,THO,https://www.estimize.com/tho
370,VRA,https://www.estimize.com/vra
371,LOVE,https://www.estimize.com/love
372,GME,https://www.estimize.com/gme
373,RH,https://www.estimize.com/rh
374,SPWH,https://www.estimize.com/spwh
375,ASNA,https://www.estimize.com/asna
376,OXM,https://www.estimize.com/oxm
377,MIK,https://www.estimize.com/mik
378,HOV,https://www.estimize.com/hov
379,LULU,https://www.estimize.com/lulu
380,MTN,https://www.estimize.com/mtn
381,CHWY,https://www.estimize.com/chwy
382,JOUT,https://www.estimize.com/jout
383,JILL,https://www.estimize.com/jill
384,TCOM,https://www.estimize.com/tcom
385,LEN,https://www.estimize.com/len
386,APEX,https://www.estimize.com/apex
387,SCHL,https://www.estimize.com/schl
388,DRI,https://www.estimize.com/dri
389,WGO,https://www.estimize.com/wgo
390,CCL,https://www.estimize.com/ccl
391,NKE,https://www.estimize.com/nke
392,FRAN,https://www.estimize.com/fran
393,KMX,https://www.estimize.com/kmx
394,PEP,https://www.estimize.com/pep
395,STZ,https://www.estimize.com/stz
396,CAG,https://www.estimize.com/cag
397,LW,https://www.estimize.com/lw
398,WBA,https://www.estimize.com/wba
399,ACI,https://www.estimize.com/aci
400,PG,https://www.estimize.com/pg
401,PM,https://www.estimize.com/pm
402,WDFC,https://www.estimize.com/wdfc
403,PSMT,https://www.estimize.com/psmt
404,SAM,https://www.estimize.com/sam
405,KMB,https://www.estimize.com/kmb
406,JBSS,https://www.estimize.com/jbss
407,ADM,https://www.estimize.com/adm
408,USNA,https://www.estimize.com/usna
409,KO,https://www.estimize.com/ko
410,CHEF,https://www.estimize.com/chef
411,BG,https://www.estimize.com/bg
412,KHC,https://www.estimize.com/khc
413,PPC,https://www.estimize.com/ppc
414,MO,https://www.estimize.com/mo
415,HSY,https://www.estimize.com/hsy
416,KDP,https://www.estimize.com/kdp
417,TAP,https://www.estimize.com/tap
418,AVP,https://www.estimize.com/avp
419,BUD,https://www.estimize.com/bud
420,CL,https://www.estimize.com/cl
421,CHD,https://www.estimize.com/chd
422,CLX,https://www.estimize.com/clx
423,EL,https://www.estimize.com/el
424,INGR,https://www.estimize.com/ingr
425,HLF,https://www.estimize.com/hlf
426,MDLZ,https://www.estimize.com/mdlz
427,ANDE,https://www.estimize.com/ande
428,CVS,https://www.estimize.com/cvs
429,LANC,https://www.estimize.com/lanc
430,MGPI,https://www.estimize.com/mgpi
431,FDP,https://www.estimize.com/fdp
432,BREW,https://www.estimize.com/brew
433,NHTC,https://www.estimize.com/nhtc
434,UVV,https://www.estimize.com/uvv
435,ELF,https://www.estimize.com/elf
436,NUS,https://www.estimize.com/nus
437,K,https://www.estimize.com/k
438,XXII,https://www.estimize.com/xxii
439,PBH,https://www.estimize.com/pbh
440,NOMD,https://www.estimize.com/nomd
441,REYN,https://www.estimize.com/reyn
442,MNST,https://www.estimize.com/mnst
443,SFM,https://www.estimize.com/sfm
444,BGS,https://www.estimize.com/bgs
445,FARM,https://www.estimize.com/farm
446,VGR,https://www.estimize.com/vgr
447,THS,https://www.estimize.com/ths
448,COTY,https://www.estimize.com/coty
449,IPAR,https://www.estimize.com/ipar
450,FRPT,https://www.estimize.com/frpt
451,SYY,https://www.estimize.com/syy
452,TWNK,https://www.estimize.com/twnk
453,CCEP,https://www.estimize.com/ccep
454,HAIN,https://www.estimize.com/hain
455,DAR,https://www.estimize.com/dar
