,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21,FQ4 '21
0,1.16,1.22,0.87,1.50,1.42,1.39,1.49,1.67
1,20,17,14,15,9,10,7,7
2,1.08,1.14,0.83,1.46,1.37,1.34,1.44,1.64
3,1.26,0.78,1.19,1.62,1.43,1.44,1.54,1.82
4,35%,-36%,-5%,22%,13%,85%,29%,12%
