,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,0.81,0.54,0.31,0.52,0.81,-,0.86,0.97
1,8,9,9,6,8,,4,5
2,0.78,0.51,0.23,0.49,0.81,0.66,0.83,0.91
3,0.77,0.66,0.37,0.60,0.91,0.83,0.97,1.08
4,10%,8%,-45%,-21%,18%,26%,162%,80%
