,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,-,-,-,-,-,-,-,-0.54
1,,,,,,,,8
2,-,-,-,-,-,-,-,-0.67
3,-0.20,-0.23,0.09,-0.05,0.02,-0.12,-2.16,-2.06
4,-,-283%,280%,71%,110%,48%,-2500%,-4020%
