,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,0.86,0.78,0.68,0.81,0.78,0.88,0.93,0.96
1,7,6,8,3,3,7,3,6
2,0.86,0.77,0.68,0.80,0.80,0.88,0.92,0.95
3,0.84,0.72,0.68,0.75,0.86,0.89,0.93,0.97
4,15%,-1%,-17%,-13%,2%,24%,37%,29%
