,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,0.11,-0.45,0.28,-,-,-0.40,0.55,0.60
1,4,3,5,,,6,3,3
2,0.13,-0.48,0.25,0.65,0.17,-0.47,0.50,0.63
3,0.62,-0.48,0.50,0.55,0.25,-0.33,0.49,0.68
4,488%,2%,61%,10%,-60%,31%,-2%,24%
