,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,0.42,0.40,0.40,0.54,0.46,-,0.43,0.48
1,7,4,4,4,3,,3,3
2,0.45,0.44,0.40,0.46,0.46,0.44,0.44,0.47
3,0.27,0.35,0.46,0.38,0.47,0.36,0.59,0.58
4,-18%,-20%,-8%,9%,74%,3%,28%,53%
