,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21,FQ4 '21,FQ1 '22,FQ2 '22,FQ3 '22
0,0.23,-0.14,0.06,0.05,0.12,-0.01,0.06,0.16
1,14,13,12,13,8,11,7,8
2,0.22,-0.16,0,0,0.09,-0.06,0.05,0.12
3,0.23,-0.02,0.06,0.01,0.13,0,0.14,0.22
4,64%,82%,500%,-92%,-43%,100%,133%,2100%
