,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,0.53,0.38,0,0.33,0.53,0.41,0.47,0.50
1,13,11,10,9,9,11,9,11
2,0.52,0.38,-0.11,0.31,0.51,0.37,0.44,0.45
3,0.49,0.29,0.07,0.49,0.58,0.49,0.56,0.50
4,14%,-19%,-83%,14%,18%,69%,700%,2%
