,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,0.16,0.15,0.16,0.18,0.20,0.20,0.23,0.26
1,20,6,8,4,9,6,5,7
2,0.15,0.14,0.15,0.16,0.17,0.19,0.22,0.24
3,0.17,0.15,0.17,0.19,0.19,0.22,0.25,0.28
4,113%,36%,13%,12%,12%,47%,47%,47%
