,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,0.61,0.57,0.49,0.49,0.54,0.57,0.59,0.64
1,7,9,6,6,6,5,5,6
2,0.60,0.55,0.47,0.48,0.52,0.56,0.58,0.63
3,0.62,0.57,0.48,0.50,0.59,0.58,0.62,0.71
4,-10%,-11%,-24%,-19%,-5%,2%,29%,42%
