,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,0.64,0.63,0.67,0.72,0.76,0.72,0.71,0.83
1,15,16,12,11,10,6,9,10
2,0.58,0.60,0.64,0.67,0.70,0.68,0.68,0.79
3,0.64,0.65,0.74,0.77,0.71,0.74,0.79,0.86
4,25%,33%,35%,17%,11%,14%,7%,12%
