,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,-0.17,-0.21,-0.19,-0.22,-0.16,-0.14,-0.17,-0.05
1,16,12,12,9,8,10,5,8
2,-0.09,-,-,-,-,-0.10,-0.08,-
3,-0.09,-0.41,-0.27,-0.15,-0.17,-0.26,-0.27,-0.41
4,-975%,-162%,-34%,28%,-93%,36%,1%,-173%
