,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21,FQ4 '21
0,1.18,0.92,0.67,0.80,0.68,0.55,0.93,0.97
1,8,4,4,5,4,4,3,5
2,1.14,0.88,0.71,0.78,0.70,0.55,0.97,0.94
3,0.76,0.65,0.75,0.58,0.72,0.29,0.93,0.44
4,-32%,-49%,-37%,-58%,-5%,-55%,24%,-24%
