,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,-,-,-,-,-,-,-0.05,-0.11
1,,,,,,,3,8
2,-,-,-,-,-,-,-0.07,-0.10
3,-0.05,-0.06,-0.06,-1.57,-1.27,-0.09,-0.12,-0.13
4,-,-,-,-,-2440%,-50%,-100%,92%
