,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,1.39,1.38,1.26,1.30,1.21,1.05,1.14,1.21
1,7,10,7,6,9,8,5,8
2,1.38,1.38,1.20,1.31,1.20,0.98,1.12,1.15
3,1.41,1.35,1.23,1.21,1.15,1.04,1.39,1.03
4,8%,3%,-10%,-11%,-18%,-23%,13%,-15%
