,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21,FQ4 '21,FQ1 '22
0,1.50,1.46,1.11,1.68,2.18,2.01,2.04,2.65
1,13,9,10,8,6,7,6,4
2,1.44,1.41,1.07,1.68,2.13,1.90,2.00,2.59
3,2.04,1.49,1.24,1.85,2.30,2.03,2.18,2.68
4,32%,80%,226%,52%,13%,36%,76%,45%
