,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,0.27,0.32,0.31,0.24,0.27,0.04,0.14,0.15
1,8,7,21,7,7,5,7,3
2,0.27,0.26,0.21,0.28,0.26,0.05,0.05,0.15
3,-2.11,-1.22,-0.19,0.14,-0.82,0.07,0.32,0.23
4,-374%,-771%,-113%,-80%,61%,106%,268%,64%
