,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21,FQ4 '21
0,0.70,0.50,0.52,0.59,0.60,0.66,0.73,0.79
1,6,5,4,5,4,3,3,3
2,0.67,0.50,0.50,0.57,0.57,0.63,0.72,0.77
3,0.46,0.55,0.55,0.60,0.62,0.67,0.73,0.81
4,-18%,-20%,-24%,-24%,35%,22%,33%,35%
