,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,0.06,0.05,0.06,0.06,0.06,0.07,0.07,0.08
1,45,27,28,20,19,17,11,14
2,0.06,0.05,0.05,0.05,0.05,0.06,0.07,0.07
3,0.05,0.07,0.05,0.06,0.07,0.05,0.10,0.08
4,-17%,40%,-17%,20%,43%,-29%,100%,33%
