,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21,FQ4 '21
0,1.34,1.94,1.26,1.85,2.22,4.82,4.71,4.19
1,23,19,15,14,12,18,23,29
2,1.27,1.72,1.26,1.49,2.16,4.51,4.58,3.87
3,1.63,2.11,2.57,2.39,3.87,5.68,5.32,4.12
4,6%,-40%,-5%,12%,137%,169%,107%,72%
