,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,-,-,-,-,-,-,-
1,,,,,,,
2,-,-,-,-,-,-,-
3,-2.93,-0.03,-0.70,-,-2.81,-0.48,-0.05
4,-,-,-,-,4%,-1500%,93%
