,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,-,-,-,-,-,-,-,0.79
1,,,,,,,,4
2,-,-,-,-,-,0.83,0.80,0.78
3,0.54,0.73,0.72,0.69,0.65,0.88,0.84,0.82
4,0%,12%,20%,8%,20%,21%,16%,19%
