,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,1.16,0.75,0.83,1.38,1.46,1.28,1.60,1.54
1,12,6,5,4,4,5,4,4
2,1.14,0.69,0.79,1.34,1.39,1.25,1.55,1.51
3,1.15,0.75,1.23,1.63,1.40,1.39,1.62,1.45
4,12%,-23%,15%,29%,22%,85%,32%,-11%
