,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21,FQ4 '21,FQ1 '22,FQ2 '22,FQ3 '22
0,0.36,0.34,0.43,0.47,0.49,0.54,0.63,0.74
1,10,8,7,8,8,8,7,11
2,0.35,0.32,0.42,0.46,0.48,0.52,0.62,0.72
3,0.40,0.35,0.43,0.47,0.51,0.53,0.65,0.74
4,-27%,3%,13%,15%,27%,51%,51%,57%
