,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21,FQ4 '21,FQ1 '22,FQ2 '22
0,0.45,0.52,0.33,0.39,0.43,0.48,-,-
1,10,7,5,4,3,5,,
2,0.42,0.51,0.29,0.37,0.47,0.45,0.50,0.56
3,0.48,0.55,0.36,0.47,0.39,0.47,0.58,0.55
4,2%,8%,-25%,-8%,-19%,-15%,61%,17%
