,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
19,CYD,China Yuchai International Ltd,2021-12-27T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY
20,REDU,RISE Education Cayman Ltd,2021-12-27T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY
21,USAQ,USA Equities Corp,2021-12-27T13:30:00.000Z,BMO,-0.02,-0.03,-50.0,EST,-18000000,EQUITY
22,JRJC,China Finance Online Co Ltd,2021-12-27T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY
23,FFHL,Fuwei Films (Holdings) Co Ltd,2021-12-27T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY
24,CADMF,Chemesis International Inc,2021-12-27T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY
25,NFH,New Frontier Health Corp,2021-12-27T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY
26,NFH,New Frontier Health Corp,2021-12-27T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY
27,NFH,New Frontier Health Corp,2021-12-27T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY
28,IFABF,iFabric Corp,2021-12-27T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY
29,CANQF,CanaQuest Medical Corp,2021-12-27T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY
30,DNP,DNP Select Income Fund Inc,2021-12-27T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY
31,TAL,TAL Education Group,2021-12-27T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY
32,TAL,TAL Education Group,2021-12-27T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY
33,EAR,Eargo Inc,2021-12-27T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY
34,HLG,Hailiang Education Group Inc,2021-12-27T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY
35,ONE,OneSmart International Education Group Ltd,2021-12-27T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY
36,SFUN,Fang Holdings Ltd,2021-12-27T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY
37,SFUN,Fang Holdings Ltd,2021-12-27T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY
38,GOTU,Gaotu Techedu Inc,2021-12-27T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY
39,STMH,Stem Holdings Inc,2021-12-27T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY
40,LAIX,LAIX Inc,2021-12-27T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY
41,PRSNF,Personas Social Inc,2021-12-27T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY
42,PFSW,PFSweb Inc,2021-12-27T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY
43,PFSW,PFSweb Inc,2021-12-27T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY
44,OBNNF,Osisko Mining Inc,2021-12-27T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY
45,RAYT,Rayont Inc,2021-12-27T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY
46,TC,TuanChe Ltd,2021-12-27T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY
47,CALM,Cal-Maine Foods Inc,2021-12-28T21:00:00.000Z,AMC,0.28,,,EST,-18000000,EQUITY
48,NFJ,Virtus Dividend Interest & Premium Strategy Fund,2021-12-28T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY
49,TGIFF,1933 Industries Inc,2021-12-29T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY
50,COE,China Online Education Group,2021-12-29T13:30:00.000Z,BMO,0.64,,,EST,-18000000,EQUITY
51,TPPRF,Top Strike Resources Corp,2021-12-29T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY
52,SARSF,Canada House Cannabis Group Inc,2021-12-29T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY
53,VIZSF,Vizsla Silver Corp,2021-12-29T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY
54,FCEL,Fuelcell Energy Inc,2021-12-29T13:30:00.000Z,BMO,-0.04,,,EST,-18000000,EQUITY
