,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,4.15,1.05,3.32,4.15,4.42,3.81,3.72,3.60
1,14,12,10,7,9,8,7,11
2,4.13,0.64,3.11,4.08,4.24,3.73,3.52,3.32
3,4.42,0.45,3.71,4.31,4.00,3.92,3.90,4.20
4,21%,-88%,-8%,5%,-10%,771%,5%,-3%
