,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,-0.58,-0.64,-0.59,0.29,-,-,-,-0.15
1,7,6,5,3,,,,3
2,-0.77,-0.69,-0.61,0.37,-0.28,-0.16,-0.16,-0.18
3,-0.48,-0.63,-0.65,0.71,-0.04,-0.15,-0.13,-0.16
4,-200%,-200%,-195%,810%,92%,76%,80%,-123%
