,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,0.78,0.81,0.56,0.64,0.78,0.80,0.82,0.84
1,6,10,8,9,3,5,4,4
2,0.77,0.80,0.49,0.61,0.74,0.77,0.75,0.83
3,0.77,0.83,0.31,0.70,0.79,0.86,0.77,0.88
4,10%,2%,-59%,-6%,3%,4%,149%,27%
