,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,0.66,0.62,0.62,0.95,-,0.99,1.78,1.72
1,4,4,5,3,,5,4,5
2,0.60,0.62,0.60,0.93,0.73,0.88,1.70,1.51
3,0.61,0.65,1.05,1.24,1.02,1.67,2.76,1.83
4,22%,12%,19%,47%,67%,157%,163%,48%
