,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,1.06,0.61,-,-,-,-,-,-
1,4,3,,,,,,
2,0.95,0.57,-0.96,0.03,0.43,0.34,0.45,0.28
3,0.65,0.13,-1.17,0.52,0.53,0.53,-0.33,-0.32
4,-46%,-87%,-209%,-49%,-18%,308%,72%,-162%
